"model_id","location","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"MOBS-GLEAM_FLUH","55",0.711565244104524,119.503043478261,0.723448215140627,140.25,0.166666666666667,0.666666666666667,12
"MOBS-GLEAM_FLUH","56",0.784375950388089,12.895652173913,0.724550898203593,15.125,0.4375,0.75,16
"MOBS-GLEAM_FLUH","US",0.387528134891779,2523.54934782609,0.474622578435176,3593.8125,0.5,0.8125,16
"PSI-DICE","01",0.496505585235551,38.8920380434783,0.485731633272617,50,0.3125,0.75,16
"PSI-DICE","02",0.722778489583756,19.376277173913,0.859813084112149,28.75,0.0625,0.625,16
"PSI-DICE","04",0.543936910005677,124.787934782609,0.615937260639796,169.1875,0.25,0.4375,16
"PSI-DICE","05",0.490910264247018,40.722527173913,0.411833626244874,43.9375,0.625,0.8125,16
"PSI-DICE","06",0.424629217904132,341.181114130435,0.443910252111118,415.6875,0.4375,0.625,16
"PSI-DICE","08",1.587168303986,81.4276358695652,1.46012036142342,110.125,0.1875,0.5,16
"PSI-DICE","09",0.512040517572459,65.5138043478261,0.554028276159231,82.9375,0.1875,0.4375,16
"PSI-DICE","10",0.841183075150319,12.2467934782609,0.94790124889241,18.3125,0.125,0.625,16
"PSI-DICE","11",0.776164082665254,9.87095108695652,0.810810810810811,13.125,0.25,0.75,16
"PSI-DICE","12",0.788866645430751,200.46277173913,0.827731268923992,267.25,0.5,0.625,16
"PSI-DICE","13",1.2269067346936,49.3234510869565,1.33218390804598,72.4375,0.1875,0.625,16
"PSI-DICE","15",1.0996176770122,8.94888586956522,1.22941176470588,13.0625,0.5,0.6875,16
"PSI-DICE","16",0.80614007853096,53.4022554347826,0.83377262651329,64.0625,0.375,0.4375,16
"PSI-DICE","17",0.657290791849102,197.632336956522,0.726842433292354,253.125,0.25,0.5625,16
"PSI-DICE","18",0.669522788940302,164.497255434783,0.634225996080993,182.0625,0.1875,0.4375,16
"PSI-DICE","19",0.677532367368786,51.4910054347826,0.756063756063756,68.1875,0.25,0.75,16
"PSI-DICE","20",0.618008973251628,46.5970652173913,0.619168660654737,56.3125,0.25,0.4375,16
"PSI-DICE","21",0.471752820463686,105.164048913043,0.4920049200492,125,0.4375,0.5625,16
"PSI-DICE","22",0.628707567113286,46.145597826087,0.764112903225806,71.0625,0.25,0.6875,16
"PSI-DICE","23",0.721679266762314,30.0243206521739,0.913155473804897,45.875,0.25,0.625,16
